,Aktie,Senast,+/-,%,Köp,Sälj,Högst,Lägst,Omsatt,Valuta,Tid
110,Stora Enso Oyj ser. R,"136,50","1,70","1,26%","136,50","136,50","136,70","134,10",108 716 732,SEK,18:00 
111,Svenska Cellulosa AB SCA ser. A,"105,60","1,20","1,15%","105,60","105,60","105,80","103,40",2 327 247,SEK,18:00 
112,Svenska Cellulosa AB SCA ser. B,"102,65","2,50","2,50%","102,65","102,65","102,85","100,30",140 240 708,SEK,18:00 
113,Svenska Handelsbanken ser. A,"96,44","1,44","1,52%","96,44","96,44","96,82","94,80",477 894 614,SEK,18:00 
114,Svenska Handelsbanken ser. B,"96,80","1,20","1,26%","96,80","96,80","97,10","95,50",4 901 004,SEK,18:00 
115,SWECO AB ser. A,"328,00","0,00","0,00%","328,00","328,00","328,00","326,00",327 290,SEK,18:00 
116,SWECO AB ser. B,"336,00","1,40","0,42%","336,00","336,00","338,60","334,40",37 634 212,SEK,18:00 
117,Swedbank AB ser A,"132,10","-0,90","-0,68%","132,10","132,10","133,90","129,65",706 076 691,SEK,18:00 
118,Swedish Match AB,"450,70","-2,60","-0,57%","450,70","450,70","456,30","448,30",218 940 566,SEK,18:00 
119,Swedish Orphan Biovitrum AB,"159,55","-1,10","-0,68%","159,55","159,55","161,20","157,25",63 468 018,SEK,18:00 
120,Tele2 AB ser. A,"140,00","2,00","1,45%","140,00","140,00","140,00","139,00",28 152,SEK,18:00 
121,Tele2 AB ser. B,"140,00","0,30","0,21%","140,00","140,00","140,80","139,30",251 638 786,SEK,18:00 
122,Telia Company AB,"42,46","0,17","0,40%","42,46","42,46","42,66","42,33",395 222 629,SEK,18:00 
123,Thule Group AB,"206,20","0,60","0,29%","206,20","206,20","207,80","204,60",19 251 721,SEK,18:00 
124,Tieto Corporation,"276,20","0,20","0,07%","276,20","276,20","278,20","275,00",269 221,SEK,18:00 
125,TRATON SE,"264,50","1,35","0,51%","264,50","264,50","265,00","258,00",1 687 676,SEK,18:00 
126,Trelleborg AB ser. B,"164,80","2,20","1,35%","164,80","164,80","164,80","161,55",154 905 454,SEK,18:00 
127,Veoneer Inc. SDB,"154,40","-3,75","-2,37%","154,40","154,40","158,40","153,60",48 353 172,SEK,18:00 
128,Vitrolife AB,"188,20","-0,30","-0,16%","188,20","188,20","190,00","187,50",11 676 393,SEK,18:00 
129,"Volvo, AB ser. A","152,40","2,10","1,40%","152,40","152,40","152,70","150,20",17 747 914,SEK,18:00 
130,"Volvo, AB ser. B","152,60","2,25","1,50%","152,60","152,60","153,00","150,25",473 111 658,SEK,18:00 
131,Wallenstam AB ser. B,"107,60","0,90","0,84%","107,60","107,60","107,90","106,40",16 282 344,SEK,18:00 
132,Wihlborgs Fastigheter AB,"157,40","1,80","1,16%","157,40","157,40","157,50","154,90",34 400 304,SEK,18:00 
133,ÅF Pöyry AB ser. B,"208,20","2,40","1,17%","208,20","208,20","209,60","205,60",22 325 021,SEK,18:00 
